id,title,description,date,status,type,priority,category,chat_id,created_at,updated_at,submitted_at
1,Damaged Luggage Report,Customer reported damaged luggage upon arrival at destination airport.,2024-01-15,Completed,Damaged Baggage,High,Customer Service,chat_1705780800000_abc123,2024-01-15T10:30:00Z,2024-01-15T14:30:00Z,2024-01-15T14:30:00Z
2,Lost Baggage Claim,Baggage not found at carousel after international flight.,2024-01-14,In Progress,Lost Baggage,High,Customer Service,chat_1705867200000_def456,2024-01-14T09:15:00Z,2024-01-14T09:15:00Z,
3,Broken Seat Issue,Seat 12A was broken and could not recline properly during flight.,2024-01-13,Completed,Damaged Aircraft Infrastructure,Low,Safety,chat_1705953600000_ghi789,2024-01-13T12:45:00Z,2024-01-13T16:45:00Z,2024-01-13T16:45:00Z
4,Broken Tray Table,Passenger reported broken tray table in seat 15C that would not fold down.,2024-01-12,In Progress,Damaged Aircraft Infrastructure,High,Safety,chat_1706040000000_jkl012,2024-01-12T14:20:00Z,2024-01-12T14:20:00Z,
5,Lost Baggage Claim,Baggage not found at carousel after international flight.,2024-01-11,In Progress,Lost Baggage,High,Customer Service,chat_1706126400000_mno345,2024-01-11T11:30:00Z,2024-01-11T11:30:00Z,
6,Broken Seat Back,Seat 8F backrest was loose and unstable during takeoff and landing.,2024-01-10,Completed,Damaged Aircraft Infrastructure,Medium,Safety,chat_1706212800000_pqr678,2024-01-10T08:20:00Z,2024-01-10T11:20:00Z,2024-01-10T11:20:00Z
7,Broken Tray Table,Passenger reported broken tray table in seat 22B that would not stay up.,2024-01-09,Completed,Damaged Aircraft Infrastructure,Low,Safety,chat_1706299200000_stu901,2024-01-09T10:15:00Z,2024-01-09T13:15:00Z,2024-01-09T13:15:00Z
8,Broken Seat Mechanism,Seat 3D reclining mechanism was completely non-functional.,2024-01-08,Completed,Damaged Aircraft Infrastructure,High,Safety,chat_1706385600000_vwx234,2024-01-08T06:30:00Z,2024-01-08T09:30:00Z,2024-01-08T09:30:00Z
9,Broken Tray Table,Passenger reported broken tray table in seat 18A that would not lock in place.,2024-01-07,In Progress,Damaged Aircraft Infrastructure,Medium,Safety,chat_1706472000000_yz0567,2024-01-07T16:45:00Z,2024-01-07T16:45:00Z,
10,Delayed Baggage Delivery,Baggage delivered to hotel 2 days after arrival.,2024-01-06,Completed,Lost Baggage,Low,Customer Service,chat_1706558400000_abc890,2024-01-06T13:00:00Z,2024-01-06T17:00:00Z,2024-01-06T17:00:00Z 